"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Bettsy_TowIn","0","0","12","2276.68357849121","5937.14120483398","10.2641926904519","12","0"
"Bettsy_TowIn","0","1","10","1747.05557250977","4955.92584228516","10.8974112033844","10","0.0185270234942436"
"Bettsy_TowIn","0","2","9","1359.09552764893","4097.32692718506","15.6015097300212","9","0.0370540469884872"
"Bettsy_TowIn","0","3","8","1563.51162719727","3407.59930419922","20.948631465435","8","0.0555810704827309"
"Bettsy_TowIn","0","4","7","2989.15357971191","2292.54769134521","31.6028119495937","7","0.0741080939769745"
"Bettsy_TowIn","10","0","9","1290.80039215088","4322.50622558594","13.6848385069105","9","0"
"Bettsy_TowIn","10","1","10","1681.860206604","4643.66288757324","14.5620439052582","10","0.0185270234942436"
"Bettsy_TowIn","10","2","11","1903.54528808594","5234.68890380859","12.9225964979692","11","0.0370540469884872"
"Bettsy_TowIn","10","3","13","2398.99747467041","6341.58026123047","12.9856578386747","13","0.0555810704827309"
"Bettsy_TowIn","10","4","10","2999.25590515137","4706.42300415039","23.1133956432343","10","0.0741080939769745"
"Bettsy_TowIn","15","0","7","869.43913269043","3385.09292602539","16.9355578422546","7","0"
"Bettsy_TowIn","15","1","9","1775.97079467773","4165.44522094727","15.7516797383626","9","0.0185270234942436"
"Bettsy_TowIn","15","2","11","2988.35405731201","5173.33795166016","11.7141413905404","11","0.0370540469884872"
"Bettsy_TowIn","15","3","10","3094.13787841797","4724.46636962891","9.67560291290283","10","0.0555810704827309"
"Bettsy_TowIn","15","4","10","2931.31002807617","4853.41427612305","21.7505641937256","10","0.0741080939769745"
"Bettsy_TowIn","2","0","10","1604.04953765869","4821.3525390625","12.6900184392929","10","0"
"Bettsy_TowIn","2","1","11","1801.31987762451","5122.9708404541","13.8703640591015","11","0.0185270234942436"
"Bettsy_TowIn","2","2","11","1570.04772186279","5138.69300842285","12.1067455898632","11","0.0370540469884872"
"Bettsy_TowIn","2","3","10","1560.35087585449","4391.03843688965","17.5962102890015","10","0.0555810704827309"
"Bettsy_TowIn","2","4","8","6016.09309387207","3297.6396484375","32.1461880207062","8","0.0741080939769745"
"Bettsy_TowIn","20","0","4","389.661308288574","2000.19546508789","15.2468341588974","4","0"
"Bettsy_TowIn","20","1","8","1903.46109771729","3875.806640625","11.7676281929016","8","0.0185270234942436"
"Bettsy_TowIn","20","2","11","3906.42192077637","5106.85369873047","11.9279822869734","11","0.0370540469884872"
"Bettsy_TowIn","20","3","10","3833.34896087646","4617.49740600586","9.54523546695709","10","0.0555810704827309"
"Bettsy_TowIn","20","4","10","3684.86991119385","4704.58834838867","18.7271830558777","10","0.0741080939769745"
"Bettsy_TowIn","30","0","3","249.174156188965","1507.36486816406","16.720235824585","3","0"
"Bettsy_TowIn","30","1","10","3662.38426971436","4770.90875244141","9.89937381744385","10","0.0185270234942436"
"Bettsy_TowIn","30","2","11","4909.82511138916","5077.42492675781","10.8555849465457","11","0.0370540469884872"
"Bettsy_TowIn","30","3","10","4683.28200531006","4502.96926879883","8.65051202774048","10","0.0555810704827309"
"Bettsy_TowIn","30","4","10","4525.08435058594","4614.70880126953","15.3038254261017","10","0.0741080939769745"
"Bettsy_TowIn","45","0","2","185.765640258789","1007.00076293945","18.6054601669312","2","0"
"Bettsy_TowIn","45","1","6","1073.58902740479","2931.53109741211","12.9681101640066","6","0.0185270234942436"
"Bettsy_TowIn","45","2","12","6422.31111907959","5472.88375854492","8.89080858230591","12","0.0370540469884872"
"Bettsy_TowIn","45","3","10","5859.60050964355","4458.06607055664","7.85051465034485","10","0.0555810704827309"
"Bettsy_TowIn","45","4","12","8518.05534362793","5108.56851196289","13.7808266480764","12","0.0741080939769745"
"Bettsy_TowIn","5","0","10","1469.16937255859","4747.19976806641","12.7754332542419","10","0"
"Bettsy_TowIn","5","1","9","1295.80655670166","4465.52011108398","11.6204643779331","9","0.0185270234942436"
"Bettsy_TowIn","5","2","12","1655.70275878906","5683.20516967773","11.9820183912913","12","0.0370540469884872"
"Bettsy_TowIn","5","3","10","1537.08248138428","4490.5871887207","17.4270529270172","10","0.0555810704827309"
"Bettsy_TowIn","5","4","9","4119.12893676758","4018.46272277832","25.891091770596","9","0.0741080939769745"
"Bettsy_TowIn","60","0","4","403.744567871094","2005.81127929688","15.7624962329865","4","0.0185270234942436"
"Bettsy_TowIn","60","1","12","7027.21349334717","5532.85513305664","7.28414879242579","12","0.0370540469884872"
"Bettsy_TowIn","60","2","12","7943.48118591309","5341.5305480957","8.81892420848211","12","0.0555810704827309"
"Bettsy_TowIn","60","3","11","8274.25537109375","4758.03005981445","13.7966346307234","11","0.0741080939769745"
"Bettsy_TowIn","75","0","3","247.382843017578","1499.49472045898","10.5684005419413","3","0.0185270234942436"
"Bettsy_TowIn","75","1","9","4249.85133361816","4311.47476196289","8.38164496421814","9","0.0370540469884872"
"Bettsy_TowIn","75","2","8","4170.86991119385","3856.14401245117","10.7257641851902","8","0.0555810704827309"
"Bettsy_TowIn","75","3","10","7759.80883789063","4370.96411132813","13.4082490921021","10","0.0741080939769745"
"Bettsy_TowIn","90","0","2","265.439727783203","1009.71591186523","21.3643536567688","2","0.0185270234942436"
"Bettsy_TowIn","90","1","10","4701.12400817871","4825.67276000977","7.06154274940491","10","0.0370540469884872"
"Bettsy_TowIn","90","2","8","3561.54872131348","3928.89923095703","10.5072809755802","8","0.0555810704827309"
"Bettsy_TowIn","90","3","10","7854.92486572266","4295.99960327148","13.567752456665","10","0.0741080939769745"
