"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"Bruce Iron Brewer Gun","0","0","0","0","0","0","0","3.30335116386414","0","1.55087161064148","181.234893798828","0","0","347.161651611328","0","0","0","75.6996765136719","29.8138198852539","0","29.8138198852539","34.9750633239746","325.351593017578","0","0.00170943606644869","0.00225689657963812","0","0","182.387954711914","0","0.0549072399735451","-0.352856516838074","0","9","198","2","394","201","201","-1","0","199","1","0","0","45","0.0166666675359011","0","5","394","20460.0008215776","1023","20.0000008031062","49.2379562547052","4.23795625470525","10"
"Bruce Iron Brewer Gun","0","0","1","0","0","0","0","3.46259832382202","0","12.4566688537598","76.3285140991211","0","0","525.058837890625","0","0","0","239.062484741211","74.0387802124023","0","74.0387802124023","99.6038436889648","527.448181152344","0","0.00486822333186865","0.017699895426631","0","0","88.3071899414063","0","0.59079521894455","-0.0216932166367769","0","9","198","2","391","201","201","-1","0","199","0","0","0","19.7014045715332","0.0333333350718021","0","14","390","20459.9988330306","1023","19.9999988592674","15.9645469881579","-3.73685758337529","10"
"Bruce Iron Brewer Gun","0","0","2","0","0","0","0","3.46645855903625","0","23.7906188964844","51.4532852172852","0","0","516.653198242188","0","0","0","230.988510131836","147.830917358398","0","147.830917358398","136.108383178711","525.081665039063","0","0.00665241293609142","0.0341472439467907","0","0","74.7948303222656","0","1.29825472831726","-0.00199547223746777","0","9","198","2","388","201","201","-1","0","199","0","0","0","14.9879674911499","0.0500000007450581","0","17","386","20460.0021806043","1023","20.000002131578","11.2339469303472","-3.75402056080269","10"
"Bruce Iron Brewer Gun","0","0","3","0","0","0","0","4.22561025619507","0","69.0297393798828","25.0434303283691","0","0","475.65673828125","0","0","0","240.976745605469","443.516418457031","0","443.516418457031","229.034591674805","519.878540039063","0","0.0111942617222667","0.106877148151398","0","0","93.6964416503906","0","5.12402820587158","-2.28853550652275E-05","0","9","198","2","380","201","201","-1","0","199","0","0","0","10.2703161239624","0.100000001490116","0","31","372","20459.9997174649","1023","19.9999997238171","6.01215997176637","-4.25815615219603","10"
"Bruce Iron Brewer Gun","0","0","4","0","0","0","0","4.22104358673096","0","126.864074707031","14.0363445281982","0","0","405.356964111328","0","0","0","314.798645019531","665.160339355469","0","665.160339355469","294.519165039063","516.778137207031","0","0.0143948756158352","0.209391593933105","0","0","140.598114013672","0","11.9747724533081","-0.00313987443223596","0","9","198","2","370","201","201","-1","0","199","0","0","0","8.24631118774414","0.150000005960464","0","47","354","20460.0006904592","1023","20.0000006749357","3.94197644568794","-4.3043347420562","10"
"Bruce Iron Brewer Gun","0","0","5","0","0","0","0","4.05764102935791","0","194.751342773438","7.2051477432251","0","0","303.139587402344","0","0","0","347.992553710938","960.485229492188","0","960.485229492188","321.878387451172","515.963195800781","0","0.0157320816069841","0.334241688251495","0","0","201.739685058594","0","22.1194744110107","-0.00213890941813588","0","9","198","2","360","201","201","-1","0","199","0","0","0","6.74678802490234","0.200000002980232","0","65","336","20459.9998583961","1023","19.9999998615798","2.69779327241986","-4.04899475248248","10"
"Bruce Iron Brewer Gun","0","0","6","0","0","0","0","3.81890988349915","0","259.038208007813","3.13706111907959","0","0","186.889373779297","0","0","0","390.923736572266","1181.73779296875","0","1181.73779296875","291.883850097656","518.13818359375","0","0.0142660718411207","0.461969345808029","0","0","262.044616699219","0","33.8116989135742","-0.00426461640745401","0","9","198","2","351","201","201","-1","0","199","0","0","0","5.45103120803833","0.25","0","82","319","20460.0014179325","1023","20.0000013860532","1.76963183963782","-3.68139936840051","10"
"Bruce Iron Brewer Gun","0","0","7","0","0","0","0","3.34669470787048","0","329.160491943359","0.646430730819702","0","0","54.9095115661621","0","0","0","407.840026855469","1476.33935546875","0","1476.33935546875","158.113250732422","525.702331542969","0","0.00772792054340243","0.602110266685486","0","0","329.768646240234","0","47.3401679992676","-0.0154984686523676","0","9","198","2","341","201","201","-1","0","199","0","0","0","3.85530710220337","0.300000011920929","0","105","306","20459.9995360211","1023","19.9999995464527","0.735395826761132","-3.11991127544224","10"
"Bruce Iron Brewer Gun","0","0","8","0","0","0","0","2.87732577323914","0","398.463317871094","55117.015625","-262.758758544922","0","103986.4140625","0","0","0","442.532379150391","1696.986328125","0","1696.986328125","10436.8251953125","104358.0234375","0","0.510108768939972","0.750971436500549","0","0","55604.20703125","0","61.4126434326172","-0.0367404371500015","0","9","198","2","331","201","201","-1","0","199","0","0","0","45","0.349999994039536","0","119","282","20459.9995742098","1023","19.9999995837828","42.7862532244173","-2.2137467755827","10"
"Bruce Iron Brewer Gun","0","0","9","0","0","0","0","1.86317873001099","0","473.213317871094","72019.9453125","-454.096221923828","0","129691.71875","0","0","0","441.542755126953","2068.73974609375","0","2068.73974609375","12988.966796875","130198.6328125","0","0.634846806526184","0.913437008857727","0","0","72691.125","0","74.7850723266602","-0.0142487417906523","0","9","199","2","320","201","201","-1","0","200","0","0","0","45","0.400000005960464","0","139","261","20460.0017883831","1023","20.000001748175","44.027920250619","-0.972079749380974","10"
