"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Bruce Iron Brewer Gun","0","0","13","222402.423660278","390092.131378174","19.1968829900814","13","0"
"Bruce Iron Brewer Gun","0","1","11","312303.742980957","190497.59185791","27.6627913388339","11","0.0179841183125973"
"Bruce Iron Brewer Gun","0","2","8","128751.358421326","58249.3908081055","24.2368986606598","8","0.0359682366251945"
"Bruce Iron Brewer Gun","0","3","8","1732.7438583374","3801.04364013672","18.8287815004587","8","0.0539523549377918"
"Bruce Iron Brewer Gun","0","4","8","4514.82929992676","3049.04337310791","28.6336566209793","8","0.0719364732503891"
"Bruce Iron Brewer Gun","10","0","8","102556.520500183","178701.781005859","19.2138613462448","8","0"
"Bruce Iron Brewer Gun","10","1","10","232990.012893677","201652.999694824","25.8255762577057","10","0.0179841183125973"
"Bruce Iron Brewer Gun","10","2","10","240928.953605652","162306.069793701","28.561009645462","10","0.0359682366251945"
"Bruce Iron Brewer Gun","10","3","13","63133.2430801392","37782.4603271484","16.2281477634723","13","0.0539523549377918"
"Bruce Iron Brewer Gun","10","4","10","4107.74951171875","4935.52529907227","26.9196810722351","10","0.0719364732503891"
"Bruce Iron Brewer Gun","15","0","7","45260.67527771","82830.7874755859","15.6606775692531","7","0"
"Bruce Iron Brewer Gun","15","1","10","225546.930747986","222094.52935791","25.6545212268829","10","0.0179841183125973"
"Bruce Iron Brewer Gun","15","2","10","178651.024581909","157696.599060059","24.4731404781342","10","0.0359682366251945"
"Bruce Iron Brewer Gun","15","3","11","64155.5042877197","49091.439453125","18.3614932840521","11","0.0539523549377918"
"Bruce Iron Brewer Gun","15","4","12","8861.9501953125","8963.61578369141","20.4470384039838","12","0.0719364732503891"
"Bruce Iron Brewer Gun","2","0","11","221313.525444031","366448.879394531","22.3817643252286","11","0"
"Bruce Iron Brewer Gun","2","1","11","311814.210746765","201837.793823242","27.7068179737438","11","0.0179841183125973"
"Bruce Iron Brewer Gun","2","2","9","145354.457901001","58283.0232543945","21.9497554302216","9","0.0359682366251945"
"Bruce Iron Brewer Gun","2","3","10","126038.595703125","38398.0101928711","32.3310580253601","10","0.0539523549377918"
"Bruce Iron Brewer Gun","2","4","9","6206.72503662109","4527.61019897461","29.2353734970093","9","0.0719364732503891"
"Bruce Iron Brewer Gun","20","0","4","410.43293762207","2085.59197998047","11.8750641345978","4","0"
"Bruce Iron Brewer Gun","20","1","10","225142.695716858","251112.349304199","25.4855176448822","10","0.0179841183125973"
"Bruce Iron Brewer Gun","20","2","10","203017.209838867","184572.706298828","24.0480268001556","10","0.0359682366251945"
"Bruce Iron Brewer Gun","20","3","12","67971.815071106","60376.3236999512","21.002281943957","12","0.0539523549377918"
"Bruce Iron Brewer Gun","20","4","11","5379.623046875","5159.23377990723","17.1002697774886","11","0.0719364732503891"
"Bruce Iron Brewer Gun","30","0","4","323.292121887207","2093.24395751953","12.9000778198242","4","0"
"Bruce Iron Brewer Gun","30","1","10","222495.474357605","295540.421813965","25.2791433811188","10","0.0179841183125973"
"Bruce Iron Brewer Gun","30","2","12","277135.22252655","321764.098297119","25.875593662262","12","0.0359682366251945"
"Bruce Iron Brewer Gun","30","3","12","11936.0983581543","5359.60562133789","10.1103593508403","12","0.0539523549377918"
"Bruce Iron Brewer Gun","30","4","10","6170.83605957031","5702.95462036133","15.7593540094327","10","0.0719364732503891"
"Bruce Iron Brewer Gun","45","0","4","335.22534942627","2093.89678955078","12.773549079895","4","0"
"Bruce Iron Brewer Gun","45","1","4","564.483283996582","2076.85803222656","14.6504275798798","4","0.0179841183125973"
"Bruce Iron Brewer Gun","45","2","11","281481.928443909","413064.905731201","29.1144117442044","11","0.0359682366251945"
