"board","drift_deg","roll_case","element_index","sub_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_stored_parent"
"Bruce Iron Brewer Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.89888000488281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","-1","-1","0","-1","0","NaN","NaN","NaN","NaN","45"
"Bruce Iron Brewer Gun","0","0","0","1","0.120253823697567","0","0","0","-4.63368511199951","0","0.0646872445940971","15.3201084136963","0","0","21.4574851989746","0","0","0","9.89888000488281","0","0","14.0891284942627","2.17412614822388","20.1060047149658","0","0.000106262275949121","0.000139466588734649","0.000168889338965528","0","15.3620042800903","0","0.0016718152910471","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9998334768","1023","19.9999998372208","49.6336846372574","45"
"Bruce Iron Brewer Gun","0","0","0","2","0.418275594711304","0","0","0","3.38889813423157","0","0.185255587100983","20.7526721954346","0","0","40.8345985412598","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","30.5750942230225","4.11219882965088","38.2680358886719","0","0.000200987225980498","0.000302659173030406","0.00065156992059201","0","20.8911819458008","0","0.006449812091887","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0009258792","1023","20.0000009050628","41.611103521083","45"
"Bruce Iron Brewer Gun","0","0","0","3","0.597686052322388","0","0","0","3.34480953216553","0","0.255656957626343","26.300271987915","0","0","51.6552467346191","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","38.6366195678711","5.20093393325806","48.4057464599609","0","0.000254200102062896","0.000382459256798029","0.000930771988350898","0","26.4912872314453","0","0.00921359937638044","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9993904456","1023","19.9999994041501","41.6551900806992","45"
"Bruce Iron Brewer Gun","0","0","0","4","0.600093841552734","0","0","0","3.44835114479065","0","0.256601810455322","26.1982765197754","0","0","51.6780204772949","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","38.749080657959","5.20546770095825","48.425106048584","0","0.000254421669524163","0.000383572478312999","0.000913171621505171","0","26.3903064727783","0","0.00903937593102455","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0013461663","1023","20.0000013159006","41.551644703468","45"
"Bruce Iron Brewer Gun","0","0","0","5","0.565474450588226","0","0","0","3.53248286247253","0","0.243016988039017","24.9730758666992","0","0","49.434684753418","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","37.1418914794922","4.98128986358643","46.326732635498","0","0.000243464819504879","0.0003676631313283","0.000893443182576448","0","25.1551761627197","0","0.00884408783167601","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9985891867","1023","19.9999986209059","41.4675197038977","45"
"Bruce Iron Brewer Gun","0","0","0","6","0.508840441703796","0","0","0","3.68550443649292","0","0.220793575048447","23.004056930542","0","0","45.829029083252","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","34.560718536377","4.62109088897705","42.947322845459","0","0.000225859766942449","0.000342112383805215","0.000791529892012477","0","23.1698951721191","0","0.00783525966107845","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0002538502","1023","20.0000002481429","41.3144937249167","45"
"Bruce Iron Brewer Gun","0","0","0","7","0.370969384908676","0","0","0","3.86750102043152","0","0.166692435741425","18.792106628418","0","0","37.7236557006836","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","28.5756568908691","3.80700492858887","35.3572692871094","0","0.000186070625204593","0.000282866996712983","0.000610855931881815","0","18.9176578521729","0","0.00604678969830275","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.999660897","1023","19.999999668521","41.1324952175848","45"
"Bruce Iron Brewer Gun","0","0","0","8","0.185785427689552","0","0","0","3.06975269317627","0","0.0940255224704742","14.9805355072021","0","0","29.0863704681396","0","0.145153880119324","20.5278587341309","9.89888000488281","0","0","21.6158809661865","2.92541599273682","27.2756843566895","0","0.000142982200486585","0.000213973005884327","0.000405692058848217","0","15.0504865646362","0","0.00401589693501592","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0011944233","1023","20.0000011675692","41.9302472898722","45"
"Bruce Iron Brewer Gun","0","0","0","9","0.119239144027233","0","0","0","1.03840374946594","0","0.0641414225101471","10.9137830734253","0","0","19.4625587463379","0","0","0","9.89888000488281","0","0","13.852367401123","1.94753515720367","18.2396450042725","0","9.51874462771229E-05","0.000137122915475629","0.000180889619514346","0","10.9599523544312","0","0.00179060455411673","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0000669599","1023","20.0000000654544","43.9615938725513","45"
