"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"DanielThomson_ModernPlaningHull","0","0","11","6189.07395935059","5616.94683837891","4.71005272323435","11","0"
"DanielThomson_ModernPlaningHull","0","1","11","63059.7357559204","48109.7321777344","14.7740875374187","11","0.0301660895347595"
"DanielThomson_ModernPlaningHull","0","2","11","1834.04182434082","5454.92388916016","12.3556999726729","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","0","3","10","10880.3359375","5940.4248046875","22.3475489854813","10","0.0904982686042786"
"DanielThomson_ModernPlaningHull","0","4","6","4369.18809509277","1988.92747497559","35.4385418891907","6","0.120664358139038"
"DanielThomson_ModernPlaningHull","10","0","9","60568.5701065063","108226.85824585","10.5476315286424","9","0"
"DanielThomson_ModernPlaningHull","10","1","12","225919.981590271","236123.216522217","24.2416703701019","12","0.0301660895347595"
"DanielThomson_ModernPlaningHull","10","2","11","175621.72555542","132620.833251953","23.9285015192899","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","10","3","12","29554.725982666","20693.091217041","14.8528376258134","12","0.0904982686042786"
"DanielThomson_ModernPlaningHull","10","4","11","1504.12590789795","5625.20330810547","16.196891784668","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","15","0","8","2656.04776000977","4088.6067199707","5.28709647059441","8","0"
"DanielThomson_ModernPlaningHull","15","1","12","226370.994903564","256104.719024658","24.2456674575806","12","0.0301660895347595"
"DanielThomson_ModernPlaningHull","15","2","11","181683.801071167","166781.882080078","24.2751840678128","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","15","3","12","30419.1092300415","25796.1330566406","15.3742782436311","12","0.0904982686042786"
"DanielThomson_ModernPlaningHull","15","4","11","3757.65037536621","5234.97909545898","17.8840491554954","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","2","0","10","3639.04193115234","5047.62261962891","5.15533621311188","10","0"
"DanielThomson_ModernPlaningHull","2","1","11","118762.750244141","104544.482391357","18.4475056258115","11","0.0301660895347595"
"DanielThomson_ModernPlaningHull","2","2","10","1613.31446075439","4963.05151367188","13.1472426176071","10","0.060332179069519"
"DanielThomson_ModernPlaningHull","2","3","9","1368.68665313721","4581.42068481445","15.6306554211511","9","0.0904982686042786"
"DanielThomson_ModernPlaningHull","2","4","7","6756.39295196533","3006.5034942627","35.2929255621774","7","0.120664358139038"
"DanielThomson_ModernPlaningHull","20","0","5","922.005500793457","2497.99505615234","7.93060111999512","5","0"
"DanielThomson_ModernPlaningHull","20","1","11","163422.109558105","195259.505065918","22.6644755710255","11","0.0301660895347595"
"DanielThomson_ModernPlaningHull","20","2","11","173017.208961487","180233.634796143","24.2403953292153","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","20","3","13","31362.6613235474","30737.743560791","13.3628570700351","13","0.0904982686042786"
"DanielThomson_ModernPlaningHull","20","4","12","12446.0810699463","12644.4085998535","20.197788755099","12","0.120664358139038"
"DanielThomson_ModernPlaningHull","30","0","4","717.890579223633","1999.12683105469","8.16715550422668","4","0"
"DanielThomson_ModernPlaningHull","30","1","12","225085.298408508","312833.381561279","24.4878288904826","12","0.0301660895347595"
"DanielThomson_ModernPlaningHull","30","2","11","140907.993583679","168733.808776855","20.5211451053619","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","30","3","13","6244.45804595947","6102.94326782227","10.8707892561618","13","0.0904982686042786"
"DanielThomson_ModernPlaningHull","30","4","11","4879.01843261719","4936.64442443848","15.9262734759938","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","45","0","4","522.251670837402","2008.67608642578","8.15640318393707","4","0"
"DanielThomson_ModernPlaningHull","45","1","7","1927.85926818848","3285.41845703125","14.7097422736032","7","0.0301660895347595"
"DanielThomson_ModernPlaningHull","45","2","12","48457.7429885864","67557.0651855469","11.3513278191288","12","0.060332179069519"
"DanielThomson_ModernPlaningHull","45","3","13","8300.03598022461","5924.25012207031","9.75872741295741","13","0.0904982686042786"
"DanielThomson_ModernPlaningHull","45","4","11","6699.53477478027","4897.57949829102","14.1464258974249","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","5","0","9","2232.53440856934","4525.26889038086","5.88100589646233","9","0"
"DanielThomson_ModernPlaningHull","5","1","12","225887.459358215","215437.865264893","24.2217383384705","12","0.0301660895347595"
"DanielThomson_ModernPlaningHull","5","2","11","134774.564033508","79439.0580444336","20.1612272696062","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","5","3","9","994.389892578125","4580.89733886719","11.321012073093","9","0.0904982686042786"
"DanielThomson_ModernPlaningHull","5","4","9","2614.66402435303","4440.79251098633","21.2379097408719","9","0.120664358139038"
"DanielThomson_ModernPlaningHull","60","0","2","157.403411865234","1015.02075195313","10.3907437324524","2","0"
"DanielThomson_ModernPlaningHull","60","1","8","3507.63996124268","3932.56088256836","11.9550004005432","8","0.0301660895347595"
"DanielThomson_ModernPlaningHull","60","2","11","7626.16790008545","5282.05352783203","7.20683603251184","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","60","3","11","7075.40045928955","5011.89520263672","9.53383668986234","11","0.0904982686042786"
"DanielThomson_ModernPlaningHull","60","4","11","10666.6332092285","4364.013671875","9.36664568294178","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","75","0","5","2100.09266662598","2417.39587402344","6.24249391555786","5","0.0301660895347595"
"DanielThomson_ModernPlaningHull","75","1","12","9205.79727935791","5798.38259887695","6.78699366251628","12","0.060332179069519"
"DanielThomson_ModernPlaningHull","75","2","12","8091.46203613281","5606.40051269531","8.42211657762527","12","0.0904982686042786"
"DanielThomson_ModernPlaningHull","75","3","11","10885.2938079834","4450.75054931641","9.18679930947044","11","0.120664358139038"
"DanielThomson_ModernPlaningHull","90","0","11","69743.7592544556","108234.330413818","11.8925833485343","11","0.060332179069519"
"DanielThomson_ModernPlaningHull","90","1","12","8165.32925415039","5653.88735961914","7.93419857819875","12","0.0904982686042786"
"DanielThomson_ModernPlaningHull","90","2","10","8628.28060913086","4210.84558105469","8.86923632621765","10","0.120664358139038"
