"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Mini_Simmons","0","0","12","2496.60781860352","6001.24786376953","6.70547689679855","12","0"
"Mini_Simmons","0","1","11","2095.23464202881","5505.59701538086","9.73995512182062","11","0.0343889780342579"
"Mini_Simmons","0","2","9","1314.94889068604","4486.76089477539","8.93214056226942","9","0.0687779560685158"
"Mini_Simmons","0","3","8","1014.95747375488","4010.24063110352","11.8965990543365","8","0.103166937828064"
"Mini_Simmons","0","4","7","2214.0277557373","2974.3377532959","24.289765221732","7","0.137555912137032"
"Mini_Simmons","10","0","10","1669.19229888916","4974.62783813477","7.91301486492157","10","0"
"Mini_Simmons","10","1","10","1660.55577850342","5010.8896484375","10.4600334405899","10","0.0343889780342579"
"Mini_Simmons","10","2","12","2058.47116088867","6014.04681396484","6.86086965783034","12","0.0687779560685158"
"Mini_Simmons","10","3","11","1613.57841491699","5495.17425537109","13.7797960584814","11","0.103166937828064"
"Mini_Simmons","10","4","10","1960.67517089844","5025.91040039063","17.4333934783936","10","0.137555912137032"
"Mini_Simmons","15","0","9","1315.69629669189","4478.10345458984","8.25740851296319","9","0"
"Mini_Simmons","15","1","11","1899.57808685303","5473.69360351563","9.22504386034879","11","0.0343889780342579"
"Mini_Simmons","15","2","11","1691.53388977051","5473.73348999023","8.12707385149869","11","0.0687779560685158"
"Mini_Simmons","15","3","12","1310.24959564209","5994.76083374023","9.32524033387502","12","0.103166937828064"
"Mini_Simmons","15","4","12","1621.21936798096","6054.45907592773","15.9334707260132","12","0.137555912137032"
"Mini_Simmons","2","0","12","2461.5345916748","5973.70895385742","6.66117280721664","12","0"
"Mini_Simmons","2","1","12","2439.77037811279","6011.26895141602","9.00359876702229","12","0.0343889780342579"
"Mini_Simmons","2","2","10","1491.97750091553","4980.66137695313","8.04700381755829","10","0.0687779560685158"
"Mini_Simmons","2","3","10","1720.92188262939","5008.7492980957","15.3683773994446","10","0.103166937828064"
"Mini_Simmons","2","4","8","3716.07772064209","3061.86130523682","29.3466957807541","8","0.137555912137032"
"Mini_Simmons","20","0","7","871.884895324707","3491.05914306641","9.676349401474","7","0"
"Mini_Simmons","20","1","10","1570.49906158447","4978.90203857422","9.87644941806793","10","0.0343889780342579"
"Mini_Simmons","20","2","11","1782.22412109375","5471.85876464844","8.07624730196866","11","0.0687779560685158"
"Mini_Simmons","20","3","12","1251.0591583252","6007.02780151367","11.4567290147146","12","0.103166937828064"
"Mini_Simmons","20","4","11","1328.91711425781","5535.46231079102","14.5208341208371","11","0.137555912137032"
"Mini_Simmons","30","0","6","630.697868347168","2999.23532104492","10.7415608565013","6","0"
"Mini_Simmons","30","1","10","1945.0738067627","4960.26428222656","10.7119494199753","10","0.0343889780342579"
"Mini_Simmons","30","2","11","2668.81179046631","5351.76699829102","8.26194141127846","11","0.0687779560685158"
"Mini_Simmons","30","3","11","1505.31755065918","5496.65942382813","11.846991983327","11","0.103166937828064"
"Mini_Simmons","30","4","11","2023.9020614624","5624.31042480469","16.393167257309","11","0.137555912137032"
"Mini_Simmons","45","0","4","357.550148010254","2009.67971801758","13.1040977239609","4","0"
"Mini_Simmons","45","1","11","3332.81363677979","5377.48114013672","9.44726630774411","11","0.0343889780342579"
"Mini_Simmons","45","2","11","3945.49105834961","5249.40396118164","7.73556613922119","11","0.0687779560685158"
"Mini_Simmons","45","3","12","3397.32331085205","5694.5368347168","10.2672853867213","12","0.103166937828064"
"Mini_Simmons","45","4","11","2616.87334442139","5266.07846069336","10.5841738202355","11","0.137555912137032"
"Mini_Simmons","5","0","10","1722.93976593018","4976.54348754883","7.82366770505905","10","0"
"Mini_Simmons","5","1","11","2128.70405578613","5535.05386352539","9.6660101108507","11","0.0343889780342579"
"Mini_Simmons","5","2","11","1715.08464813232","5474.63647460938","7.50971221923828","11","0.0687779560685158"
"Mini_Simmons","5","3","10","1404.70524597168","5011.83255004883","13.9597119808197","10","0.103166937828064"
"Mini_Simmons","5","4","9","2630.84675598145","4530.05035400391","22.5811479356554","9","0.137555912137032"
"Mini_Simmons","60","0","4","374.517784118652","2013.5439453125","13.9568250179291","4","0"
"Mini_Simmons","60","1","9","1667.31825256348","4468.67135620117","10.6915758980645","9","0.0343889780342579"
"Mini_Simmons","60","2","10","3522.30828094482","4832.5090637207","5.16219980716705","10","0.0687779560685158"
"Mini_Simmons","60","3","12","4301.45133972168","5680.72854614258","9.20065035422643","12","0.103166937828064"
"Mini_Simmons","60","4","11","4043.00240325928","5018.68014526367","8.09097905592485","11","0.137555912137032"
"Mini_Simmons","75","0","6","998.804000854492","2970.1081237793","5.4267901579539","6","0.0343889780342579"
"Mini_Simmons","75","1","10","3821.50576782227","4846.68942260742","5.14350455999374","10","0.0687779560685158"
"Mini_Simmons","75","2","13","4815.58302307129","6218.30062866211","8.19700651902419","13","0.103166937828064"
"Mini_Simmons","75","3","10","3481.07879638672","4676.01968383789","8.69265947341919","10","0.137555912137032"
"Mini_Simmons","90","0","10","71732.7138977051","118453.425872803","17.4815779447556","10","0.0687779560685158"
"Mini_Simmons","90","1","12","3726.05686950684","5895.43380737305","8.49366118510564","12","0.103166937828064"
"Mini_Simmons","90","2","9","3145.856300354","4296.61331176758","8.82525290383233","9","0.137555912137032"
