"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"Poahaku","0","0","0","0","0","0","0","2.7487165927887","0","25.3000717163086","48.6882400512695","44.7281036376953","0","502.340667724609","0","0","0","516.840637207031","66.7518005371094","0","66.7518005371094","135.692138671875","496.124603271484","0","0.00663206912577152","0.0345000438392162","0","0","117.421829223633","0","0.729676008224487","-0.0238792579621077","0","9","199","1","385","201","200","-1","0","200","0","0","0","13.6829528808594","0.0166666675359011","0","15","385","20460.0006571991","1023","20.0000006424233","11.0831660900599","-2.5997867907995","10"
"Poahaku","0","0","1","0","0","0","0","2.74544215202332","0","59.0601005554199","29.790319442749","0","0","496.717712402344","0","0","0","433.848876953125","200.254837036133","0","200.254837036133","211.077377319336","508.917907714844","0","0.0103165870532393","0.0868803411722183","0","0","88.4347686767578","0","1.92868053913116","-0.0260404795408249","0","9","199","1","384","201","200","-1","0","200","0","0","0","9.78922367095947","0.0333333350718021","0","20","384","20460.000601949","1023","20.0000005884154","6.81966624265934","-2.96955742830013","10"
"Poahaku","0","0","2","0","0","0","0","2.74544215202332","0","63.1900405883789","28.5433006286621","0","0","494.997100830078","0","0","0","463.810333251953","200.254837036133","0","200.254837036133","218.495162963867","508.650054931641","0","0.0106791369616985","0.0928802639245987","0","0","91.3218460083008","0","2.07972645759583","-0.00997884478420019","0","9","199","1","383","201","200","-1","0","200","0","0","0","9.54094886779785","0.0500000007450581","0","19","383","20460.0019409354","1023","20.0000018972976","6.60232514726617","-2.93862372053168","10"
"Poahaku","0","0","3","0","0","0","0","2.71572756767273","0","134.092788696289","16.7880668640137","0","0","462.388092041016","0","0","0","453.413848876953","467.249755859375","0","467.249755859375","321.381774902344","503.774719238281","0","0.0157078094780445","0.211857512593269","0","0","150.532638549805","0","5.08495044708252","-0.00104620528873056","0","9","199","1","379","201","200","-1","0","200","0","0","0","7.15646362304688","0.100000001490116","0","37","364","20459.9995531874","1023","19.9999995632331","4.25199847701537","-2.9044651460315","10"
"Poahaku","0","0","4","0","0","0","0","2.65465664863586","0","193.146942138672","12.3985300064087","0","0","433.925506591797","0","0","0","450.322326660156","734.212951660156","0","734.212951660156","382.543914794922","501.195587158203","0","0.0186971612274647","0.330632477998734","0","0","205.234741210938","0","7.79263257980347","-0.00192922132555395","0","9","199","1","370","201","200","-1","0","200","0","0","0","6.21461534500122","0.150000005960464","0","56","345","20459.9997903957","1023","19.9999997951082","3.24178736924055","-2.97282797576068","10"
"Poahaku","0","0","5","0","0","0","0","2.58822774887085","0","250.655471801758","9.656662940979","0","0","405.432739257813","0","0","0","480.394836425781","934.403198242188","0","934.403198242188","428.569610595703","499.4208984375","0","0.0209467057138681","0.448882460594177","0","0","260.032012939453","0","10.5433464050293","-0.00104270630981773","0","9","199","1","359","201","200","-1","0","200","0","0","0","5.54269313812256","0.200000002980232","0","74","327","20460.0005580811","1023","20.0000005455338","2.67462844018721","-2.86806469793535","10"
"Poahaku","0","0","6","0","0","0","0","2.47221302986145","0","313.88818359375","7.60278940200806","0","0","376.508636474609","0","0","0","481.054565429688","1201.26794433594","0","1201.26794433594","469.298980712891","497.958679199219","0","0.0229373853653669","0.577875435352325","0","0","321.238677978516","0","13.3526248931885","-0.000518483750056475","0","9","199","1","350","201","200","-1","0","200","0","0","0","4.97465705871582","0.25","0","93","308","20460.0033193619","1023","20.000003244733","2.27481676050359","-2.69984029821223","10"
"Poahaku","0","0","7","0","0","0","0","2.32477116584778","0","380.416351318359","6.15027141571045","0","0","349.561828613281","0","0","0","486.758117675781","1468.05798339844","0","1468.05798339844","502.763061523438","496.806060791016","0","0.0245729759335518","0.71458911895752","0","0","386.337615966797","0","15.9803419113159","-0.0017096595838666","0","9","199","1","339","201","200","-1","0","200","0","0","0","4.45873165130615","0.300000011920929","0","112","288","20459.9989387923","1023","19.9999989626513","1.97065048827735","-2.4880811630288","10"
"Poahaku","0","0","8","0","0","0","0","2.14586877822876","0","442.101013183594","5.09859704971313","0","0","320.687103271484","0","0","0","487.714782714844","1734.76599121094","0","1734.76599121094","520.378540039063","496.336608886719","0","0.0254339464008808","0.846071064472198","0","0","446.992126464844","0","18.8341636657715","-0.00177146552596241","0","9","199","1","330","201","200","-1","0","200","0","0","0","3.99198007583618","0.349999994039536","0","130","270","20459.9998693495","1023","19.9999998722869","1.72264186418388","-2.26933821165231","10"
"Poahaku","0","0","9","0","0","0","0","2.04466223716736","0","487.908020019531","4.62007808685303","0","0","298.079345703125","0","0","0","509.929534912109","1868.08874511719","0","1868.08874511719","522.151245117188","496.470947265625","0","0.0255205892026424","0.952593564987183","0","0","492.335205078125","0","21.0936031341553","-0.00173673615790904","0","9","199","1","319","201","200","-1","0","200","0","0","0","3.6381139755249","0.400000005960464","0","144","256","20459.999609379","1023","19.9999996181613","1.53517406123064","-2.10293991429426","10"
