"board","drift_deg","roll_case","element_index","sub_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_stored_parent"
"Poahaku","0","0","0","0","1.18139219284058","0","0","0","3.20779013633728","0","2.03782081604004","3.51583766937256","0","0","37.7146072387695","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","68.1344757080078","10.5478172302246","37.8579292297363","0","0.000515533611178398","0.00283557386137545","0.00125572725664824","0","5.51969575881958","0","0.0522599928081036","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9991184175","1023","19.999999138238","10.4751625042298","13.6829528808594"
"Poahaku","0","0","0","1","1.24201512336731","0","0","0","3.25466704368591","0","2.13783431053162","3.63534235954285","0","0","39.1787300109863","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","71.3993835449219","11.0043392181396","39.3765258789063","0","0.000537846470251679","0.00297145033255219","0.00142656499519944","0","5.73786449432373","0","0.0593698024749756","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0008121096","1023","20.000000793851","10.428285420293","13.6829528808594"
"Poahaku","0","0","0","2","1.29222559928894","0","0","0","2.70107817649841","0","2.22066950798035","4.4037446975708","0","0","44.9716758728027","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","74.1264495849609","12.0238723754883","45.2318458557129","0","0.000587677001021802","0.00308494362980127","0.00166621326934546","0","6.58374786376953","0","0.0693433210253716","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0015902991","1023","20.0000015545446","10.9818748038477","13.6829528808594"
"Poahaku","0","0","0","3","1.33832514286041","0","0","0","2.31076741218567","0.102238655090332","2.29672288894653","5.05314826965332","4.84188795089722","0","49.7542686462402","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","76.6478576660156","12.8690252304077","49.0912933349609","0","0.000628984649665654","0.00318987760692835","0.00181587052065879","0","12.051607131958","0","0.0755716487765312","0","0","0","-1","-1","0","-1","-1","58","2","-1","0","-1","0","20459.9988843105","1023","19.9999989093944","11.3721842093402","13.6829528808594"
"Poahaku","0","0","0","4","1.50738084316254","0","0","0","2.67759728431702","0.165420532226563","2.57562470436096","5.14356756210327","16.2608299255371","0","52.4099197387695","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","86.0299987792969","13.9841861724854","49.6685409545898","0","0.000683489080984145","0.00358033715747297","0.00207929639145732","0","23.6336078643799","0","0.0865347161889076","0","0","0","-1","-1","0","-1","-1","57","1","-1","0","-1","0","20459.9993789948","1023","19.9999993929568","11.0053553094387","13.6829528808594"
"Poahaku","0","0","0","5","1.57115793228149","0","0","0","2.51889896392822","0.185174226760864","2.68084192276001","5.59195995330811","10.1204385757446","0","56.1333122253418","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","89.6215896606445","14.7754249572754","54.5421562194824","0","0.000722161552403122","0.00372980954125524","0.00216137059032917","0","18.1509990692139","0","0.0899504274129868","0","0","0","-1","-1","0","-1","-1","57","1","-1","0","-1","0","20459.9994393325","1023","19.999999451938","11.1640530603249","13.6829528808594"
"Poahaku","0","0","0","6","1.63107049465179","0","0","0","2.5136706829071","0.0684299468994141","2.77968311309814","5.81211519241333","13.5049457550049","0","58.3147468566895","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","93.0200576782227","15.3428039550781","56.0361061096191","0","0.000749892671592534","0.00387124484404922","0.00213466887362301","0","21.7882995605469","0","0.0888391807675362","0","0","0","-1","-1","0","-1","-1","57","1","-1","0","-1","0","20459.9998590397","1023","19.9999998622089","11.1692820556398","13.6829528808594"
"Poahaku","0","0","0","7","1.64271152019501","0","0","0","2.95677661895752","0","2.79888820648193","5.18799018859863","0","0","54.2976150512695","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","93.6830673217773","14.8464736938477","54.664623260498","0","0.000725634105037898","0.00389883737079799","0.00216267840005457","0","7.93797588348389","0","0.0900048613548279","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9998687662","1023","19.9999998717167","10.7261754369703","13.6829528808594"
"Poahaku","0","0","0","8","1.81858217716217","0","0","0","3.26751160621643","0","3.08903288841248","5.26570224761963","0","0","56.8221206665039","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","103.801208496094","15.9787397384644","57.0760955810547","0","0.00078097457299009","0.00431992718949914","0.00198360974900424","0","8.30383682250977","0","0.082552507519722","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9999681003","1023","19.9999999688175","10.4154398807283","13.6829528808594"
"Poahaku","0","0","0","9","1.57243609428406","0","0","0","2.87645220756531","0","2.68295049667358","5.07883262634277","0","0","52.7436790466309","0","0.145153880119324","20.5278587341309","41.6173133850098","0","0","89.69384765625","14.319465637207","52.5795021057129","0","0.000699876109138131","0.00373281654901803","0.00084699277067557","0","7.71420383453369","0","0.0352495610713959","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0006347422","1023","20.0000006204713","10.806499837109","13.6829528808594"
"Poahaku","0","0","1","0","4.22516393661499","0","0","0","3.32705307006836","0","7.26489686965942","3.2091588973999","0","0","56.4854469299316","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","256.070281982422","25.2545757293701","57.552360534668","0","0.00123433896806091","0.0109673021361232","0.00442844862118363","0","10.4278974533081","0","0.189667209982872","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0003587701","1023","20.0000003507039","6.46217049330934","9.78922367095947"
"Poahaku","0","0","1","1","4.06927251815796","0","0","0","3.28060698509216","0","7.00022411346436","3.14469861984253","0","0","54.9499626159668","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","245.604385375977","24.3957386016846","56.460765838623","0","0.00119236262980849","0.0105190547183156","0.00540381018072367","0","10.0998048782349","0","0.231441214680672","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9993255432","1023","19.999999340707","6.50861654005444","9.78922367095947"
"Poahaku","0","0","1","2","3.82926034927368","0","0","0","3.0711612701416","0","6.5927300453186","3.23251008987427","0","0","54.696346282959","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","229.626846313477","23.539363861084","56.287467956543","0","0.00115050654858351","0.00983474869281054","0.00553872296586633","0","9.77997303009033","0","0.237219423055649","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9998931474","1023","19.9999998955498","6.71806212917488","9.78922367095947"
"Poahaku","0","0","1","3","3.66639351844788","0","0","0","2.72464156150818","0","6.31621360778809","3.58176946640015","0","0","57.5842132568359","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","218.882583618164","23.5895843505859","59.1456527709961","0","0.00115296116564423","0.00937458034604788","0.00548491114750504","0","9.85003089904785","0","0.234914720058441","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9990472403","1023","19.9999990686611","7.06458186241721","9.78922367095947"
"Poahaku","0","0","1","4","3.51499390602112","0","0","0","2.69257783889771","0","6.05916690826416","3.46619439125061","0","0","55.4698257446289","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","208.968795776367","22.6228427886963","57.0739822387695","0","0.00110571074765176","0.00894997920840979","0.00551693327724934","0","9.47894287109375","0","0.236286178231239","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.000806487","1023","20.0000007883549","7.09664533870891","9.78922367095947"
"Poahaku","0","0","1","5","3.43402862548828","0","0","0","2.62777519226074","0","5.92170381546021","3.47191643714905","0","0","55.0495567321777","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","203.697280883789","22.2524738311768","56.515869140625","0","0.00108760863076895","0.0087242042645812","0.00517185684293509","0","9.3474235534668","0","0.22150681912899","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0011453053","1023","20.0000011195555","7.16144758097815","9.78922367095947"
"Poahaku","0","0","1","6","3.22383713722229","0","0","0","2.74632930755615","0","5.5648398399353","3.08251118659973","0","0","49.7129440307617","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","190.113967895508","20.4265270233154","50.9616775512695","0","0.000998364062979817","0.00814244151115417","0.00453138444572687","0","8.60536193847656","0","0.194075852632523","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9982919541","1023","19.9999983303559","7.04289395859104","9.78922367095947"
"Poahaku","0","0","1","7","3.00148296356201","0","0","0","3.05097198486328","0","5.1873254776001","2.49869823455811","0","0","42.151008605957","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","175.912231445313","18.0869464874268","43.3242034912109","0","0.00088401505490765","0.00753419147804379","0.00417833123356104","0","7.65019226074219","0","0.178954854607582","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9982624914","1023","19.9999983015556","6.73825126177012","9.78922367095947"
"Poahaku","0","0","1","8","2.85491561889648","0","0","0","3.30699563026428","0","4.9384822845459","2.10798501968384","0","0","36.9868125915527","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","166.650451660156","16.4864635467529","37.8293342590332","0","0.000805789954029024","0.00713751651346684","0.00328604807145894","0","7.01489496231079","0","0.140739023685455","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0013493828","1023","20.0000013190448","6.48222698731459","9.78922367095947"
"Poahaku","0","0","1","9","2.42850422859192","0","0","0","3.04696154594421","0","4.21451854705811","1.99487614631653","0","0","33.6315994262695","0","0.145153880119324","20.5278587341309","42.8292655944824","0","0","140.192459106445","14.4228525161743","33.7665977478027","0","0.000704929232597351","0.00600434001535177","0.00149139319546521","0","6.18024826049805","0","0.0638752728700638","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0005918786","1023","20.0000005785714","6.74226220232365","9.78922367095947"
"Poahaku","0","0","2","0","4.01695156097412","0","0","0","3.32237529754639","0","6.9332218170166","2.71299147605896","0","0","49.6501655578613","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","242.107147216797","23.0535869598389","50.6901054382324","0","0.00112676376011223","0.0104020209982991","0.00415930338203907","0","9.60541725158691","0","0.178702518343925","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0003797981","1023","20.0000003712591","6.21857334769338","9.54094886779785"
"Poahaku","0","0","2","1","3.87616491317749","0","0","0","3.28212738037109","0","6.69343852996826","2.65884518623352","0","0","48.3420028686523","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","232.735992431641","22.3041210174561","49.8694877624512","0","0.00109013298060745","0.00999939348548651","0.00524048926308751","0","9.31238746643066","0","0.225155174732208","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0002148615","1023","20.0000002100308","6.2588206906879","9.54094886779785"
"Poahaku","0","0","2","2","3.89186763763428","0","0","0","3.07200241088867","0","6.72018241882324","2.94827675819397","0","0","51.8384132385254","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","233.7783203125","23.1530284881592","53.4483795166016","0","0.0011316240997985","0.0100441761314869","0.00549576105549932","0","9.62567234039307","0","0.236122816801071","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9994753398","1023","19.9999994871357","6.46894641075718","9.54094886779785"
"Poahaku","0","0","2","3","3.74474120140076","0","0","0","2.73144698143005","0","6.46960210800171","3.29448246955872","0","0","54.9842720031738","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","224.041061401367","23.3514099121094","56.6390609741211","0","0.00114132021553814","0.0096258195117116","0.00562318740412593","0","9.71844673156738","0","0.24159762263298","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9985124236","1023","19.9999985458686","6.80950092527757","9.54094886779785"
"Poahaku","0","0","2","4","3.69901990890503","0","0","0","2.69472932815552","0","6.39173126220703","3.30291771888733","0","0","54.8244934082031","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","221.028442382813","23.1610450744629","56.5874099731445","0","0.00113201583735645","0.00949638430029154","0.0058619505725801","0","9.64907360076904","0","0.251855999231339","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0009206143","1023","20.0000008999162","6.84621921072216","9.54094886779785"
"Poahaku","0","0","2","5","3.71257543563843","0","0","0","2.64965653419495","0","6.41481781005859","3.38202571868896","0","0","55.7642631530762","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","221.920959472656","23.4069309234619","57.4364547729492","0","0.00114403374027461","0.00953473057597876","0.00566965295001864","0","9.7504997253418","0","0.243594005703926","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0005222254","1023","20.0000005104842","6.89129177538598","9.54094886779785"
"Poahaku","0","0","2","6","3.61266326904297","0","0","0","2.77805733680725","0","6.24465084075928","3.10233569145203","0","0","52.1401176452637","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","215.355987548828","22.2932567596436","53.632568359375","0","0.0010896020103246","0.00925266928970814","0.00517280353233218","0","9.3035364151001","0","0.222247093915939","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20459.9996589602","1023","19.9999996666277","6.76289085371649","9.54094886779785"
"Poahaku","0","0","2","7","3.46427083015442","0","0","0","3.06394481658936","0","5.99191379547119","2.60339593887329","0","0","45.7167091369629","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","205.663803100586","20.3938732147217","47.1626968383789","0","0.00099676800891757","0.00883624888956547","0.00492640119045973","0","8.55706405639648","0","0.211660534143448","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20459.9997514649","1023","19.9999997570527","6.47700347033796","9.54094886779785"
"Poahaku","0","0","2","8","3.46477723121643","0","0","0","3.31494283676147","0","5.99277639389038","2.31324410438538","0","0","42.2831954956055","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","205.696746826172","19.609884262085","43.4039878845215","0","0.000958449847530574","0.00883766449987888","0.00411150651052594","0","8.27067375183105","0","0.176648959517479","0","0","0","-1","-1","0","-1","-1","57","0","-1","0","-1","0","20460.0003981527","1023","20.0000003892011","6.2260056652941","9.54094886779785"
"Poahaku","0","0","2","9","3.08015918731689","0","0","0","3.12627816200256","0","5.33770704269409","2.22478866577148","0","0","39.4535026550293","0","0.145153880119324","20.5278587341309","42.9645347595215","0","0","180.916931152344","17.7680187225342","39.7799186706543","0","0.000868427101522684","0.00777301145717502","0.00214459514245391","0","7.52907800674438","0","0.0921415239572525","0","0","0","-1","-1","0","-1","-1","58","0","-1","0","-1","0","20460.0002595268","1023","20.0000002536918","6.414670072882","9.54094886779785"
