"board","board_speed_setting_ms","turn_radius_m","yaw_rate_rad_s","total_mass_kg","volume_shape_l","volume_float_l","foam_mass_kg","scan_files","has_hydroscan"
"2003_Taylor_Knox_channel_island_Copy_1","10","100000","0.0001","2.10402965545654","26.8458461761475","26.8458461761475","0.697992026805878","11","1"
"Bruce Iron Brewer Gun_Copy_1","5","312.130096435547","0.016018961507073","2.3952202796936","38.6999320983887","38.6999320983887","1.00619828701019","0","0"
"default_shortboard_Copy_1","5","100000","5E-05","2.13428068161011","35.223705291748","35.223705291748","0.915816307067871","11","1"
"default_shortboard_Copy_2","5","100000","5E-05","1.77031850814819","24.8583221435547","24.8583221435547","0.646316349506378","0","0"
"default_shortboard_Copy_3","5","100000","5E-05","1.77031850814819","24.8583221435547","24.8583221435547","0.646316349506378","11","1"
"default_shortboard_Copy_4","22","100000","0.00022","1.77031850814819","24.8583221435547","24.8583221435547","0.646316349506378","0","0"
"Poahaku","20","34.6559791564941","0.577100993444366","3.31932473182678","47.1957206726074","0","1.22708880901337","11","1"
"7_6_Dynamics_bear","2","74.9236679077148","0.026693834616632","2.78668189048767","39.7705345153809","0","1.03403389453888","0","0"
"EggArmy","5","100000","5E-05","6.05097579956055","112.723655700684","0","2.93081498146057","0","0"
"Jules_egg","4","-7.26885414123535","-0.550293061640689","2.47087287902832","38.8346481323242","0","1.00970077514648","0","0"
"blueTreck","2","-3.04394936561584","-0.657041152718178","2.85592603683472","40.6940002441406","0","1.05804407596588","0","0"
"default_evolutive","20","87.3053283691406","0.229081092455627","2.55681419372559","38.2408561706543","0","0.994262278079987","11","1"
"DanielThomson_ModernPlaningHull","20","30.0614910125732","0.665302994839311","2.87812948226929","46.5814514160156","0","1.2111177444458","11","1"
"default_fish","2","56.5300369262695","0.0353794214323359","3.02153491973877","44.9129943847656","0","1.16773784160614","11","1"
"Steve LIS Gun fish with sides bites","2","1034.8046875","0.00193273187120154","3.27538537979126","45.7252807617188","0","1.18885731697083","0","0"
"Steve Lis Transition Era Fish","4","100000","4E-05","2.13570642471313","32.5704574584961","0","0.846831917762756","0","0"
"Bruce Iron Brewer Gun","12.9639520645142","312.130096435547","0.0415338098201983","4.46283006668091","84.6353759765625","0","2.20051980018616","11","1"
"default_longboard","4","100000","4E-05","4.67360591888428","81.4272766113281","0","2.11710929870605","11","1"
"default_paddle","4","19.0781726837158","0.20966368563244","6.58317470550537","130.691558837891","0","3.39798045158386","11","1"
"2003_Taylor_Knox_channel_island","10","22.8064212799072","0.438473001847516","2.27693748474121","31.9189567565918","0","0.829892873764038","0","0"
"Bells Thruster 1981","4","100000","4E-05","2.56327414512634","40.8376884460449","0","1.06177997589111","0","0"
"cole quad dynamics","4","22.8064212799072","0.175389200739007","2.77088451385498","41.8213958740234","0","1.08735620975494","0","0"
"default_shortboard","20","100000","0.0002","1.7405104637146","24.0094108581543","0","0.624244689941406","11","1"
"McTavish Ricon Tracker 1968","4","100000","4E-05","2.70723176002502","45.1531448364258","0","1.17398178577423","0","0"
"Bettsy_TowIn","2","100000","2E-05","1.81511306762695","24.731861114502","0","0.643028378486633","11","1"
"HydroActiveFyn","2","100000","2E-05","3.17598271369934","48.4072265625","0","1.25858783721924","0","0"
"Laser_Zap_Ben_Aipa","20","115.893394470215","0.172572389405162","3.57234477996826","58.9753837585449","0","1.53336000442505","11","1"
"Mini_Simmons","10","45.860652923584","0.21805184537304","2.21190857887268","34.3938255310059","0","0.89423942565918","11","1"
"hydroactive_Wake","4","-145.980377197266","-0.0274009430363009","2.52713871002197","37.6581077575684","0","0.979110777378082","0","0"
