"board","drift_deg","roll_case","element_index","boundary_layer_mm","Cl0_Savitsky","Cl0_theorique","Cv_Savitsky","delta_plan_horizontal_deg","deviation_rail_deg","Fx_friction_n","Fx_planing","Fx_rail_n","Fx_rocker","Fz_planing_n","lamda_Savitsky","laminar_boundary_layer_mm","laminar_turbulent_transition_mm","largeur_B_element_mm","longueur_calcul_largeur_element_mm","longueur_element_mm","longueur_mouillee_element_mm","masse_flux_devie_kg_sec_planing","portance_globale_verticale_n","pression_dynamique_B","section_frontale_flux_devie_m2_planing","surface_contact_m2","surface_coupe_partie_immergee_m2","surface_max_element_m2","trainee_globale_horizontale_n","volume_deplacement_litres","volume_litres","inclinaison_roulis_rad_ligne_attack","inclinaison_roulis_rad_ligne_surface","index_dernier_element_on_attack","index_L1_max","index_L1_min","index_L2_max","index_L2_min","index_nose","index_point_contact","index_point_decrochage","index_point_roulis_avant_dans_tab_index_axe_roulis","index_premier_element_on_attack","index_tail","point_attack_on_outline","incidence_deg_stored","pos_x","pos_y","attack_index_1","attack_index_2","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","incidence_deg_derived","incidence_deg_residual","n_sub_elements"
"default_evolutive","0","0","0","0","0","0","0","-1.49391674995422","0","12.0227756500244","74.1697845458984","0","0","508.054260253906","0","0","0","345.879943847656","50.0232467651367","0","50.0232467651367","95.9953994750977","508.897644042969","0","0.00469185737892985","0.0173020381480455","0","0","85.7284545898438","0","0.42050102353096","-0.0164696164429188","0","9","199","1","387","201","200","-1","0","200","0","0","0","14.5799713134766","0.0166666675359011","0","15","385","20459.9994676294","1023","19.9999994795986","15.7341200031549","1.15414868967838","10"
"default_evolutive","0","0","1","0","0","0","0","-1.49391674995422","0","15.7467679977417","63.3478851318359","0","0","505.993988037109","0","0","0","454.196990966797","50.0232467651367","0","50.0232467651367","108.788063049316","507.965087890625","0","0.00531711056828499","0.0227204076945782","0","0","78.6365356445313","0","0.579729735851288","-0.0174372158944607","0","9","199","1","385","201","200","-1","0","200","0","0","0","12.521143913269","0.0333333350718021","0","17","385","20459.9963931925","1023","19.9999964742839","13.5340713708221","1.01292745755304","10"
"default_evolutive","0","0","2","0","0","0","0","-0.860357522964478","0","41.9331169128418","35.0971183776855","0","0","489.861236572266","0","0","0","301.058288574219","200.025985717773","0","200.025985717773","175.469497680664","503.773162841797","0","0.00857622269541025","0.06021948158741","0","0","76.6121520996094","0","1.97474253177643","-0.00318312738090754","0","9","199","1","383","201","200","-1","0","200","0","0","0","7.32871770858765","0.0500000007450581","0","20","381","20459.9978233506","1023","19.999997872288","8.18767886945738","0.858961160869734","10"
"default_evolutive","0","0","3","0","0","0","0","-0.486870020627975","0","75.5740661621094","23.6829528808594","0","0","466.994415283203","0","0","0","388.201416015625","300.012817382813","0","300.012817382813","234.305953979492","500.549163818359","0","0.0114519046619534","0.116465404629707","0","0","98.8802719116211","0","4.09255981445313","-0.000498319684993476","0","9","199","1","379","201","200","-1","0","200","0","0","0","5.6907434463501","0.100000001490116","0","33","368","20459.9986548897","1023","19.9999986851316","5.64294424628321","-0.0477992000668923","10"
"default_evolutive","0","0","4","0","0","0","0","0.108145475387573","0","133.222015380859","15.4076404571533","0","0","424.665710449219","0","0","0","426.940338134766","500.000579833984","0","500.000579833984","300.94970703125","497.347839355469","0","0.0147091746330261","0.213470429182053","0","0","148.308151245117","0","8.15090847015381","-0.00110617140308022","0","9","199","1","369","201","200","-1","0","200","0","0","0","4.77506828308105","0.150000005960464","0","53","350","20459.9995947791","1023","19.9999996038897","3.95109528115037","-0.823973001930685","10"
"default_evolutive","0","0","5","0","0","0","0","0.499921143054962","0","191.780975341797","10.9696922302246","0","0","376.491485595703","0","0","0","459.572662353516","700.024841308594","0","700.024841308594","339.148376464844","495.904571533203","0","0.0165761671960354","0.321712285280228","0","0","202.478408813477","0","12.8793258666992","-0.00118076801300049","0","9","199","1","359","201","200","-1","0","200","0","0","0","4.36092901229858","0.200000002980232","0","74","333","20459.9997366074","1023","19.9999997425292","2.95346250049197","-1.40746651180661","10"
"default_evolutive","0","0","6","0","0","0","0","0.660486459732056","0","249.644256591797","7.93127393722534","0","0","325.629547119141","0","0","0","509.641693115234","850.054077148438","0","850.054077148438","356.626800537109","495.590179443359","0","0.0174304414540529","0.433223009109497","0","0","257.34814453125","0","17.9318141937256","-0.0017547954339534","0","9","199","1","349","201","200","-1","0","200","0","0","0","3.98760962486267","0.25","0","93","315","20459.9981863446","1023","19.9999982271209","2.30588028794575","-1.68172933691692","10"
"default_evolutive","0","0","7","0","0","0","0","0.696837484836578","0","308.818359375","5.53196334838867","0","0","271.539703369141","0","0","0","523.593566894531","1050.07507324219","0","1050.07507324219","360.243194580078","495.976409912109","0","0.0176071934401989","0.549812495708466","0","0","314.166259765625","0","23.340934753418","-0.00442650029435754","0","9","199","1","339","201","200","-1","0","200","0","0","0","3.49763965606689","0.300000011920929","0","112","296","20460.0009537925","1023","20.0000009323485","1.83515341179779","-1.6624862442691","10"
"default_evolutive","0","0","8","0","0","0","0","0.530118823051453","0","364.938659667969","3.73537349700928","0","0","220.10693359375","0","0","0","531.893493652344","1250.05139160156","0","1250.05139160156","353.852264404297","496.783752441406","0","0.0172948334366083","0.664894223213196","0","0","368.528442382813","0","28.5061683654785","-0.00478809140622616","0","9","199","1","329","201","200","-1","0","200","0","0","0","2.88609027862549","0.349999994039536","0","130","276","20459.998397862","1023","19.9999984338827","1.4905119283793","-1.39557835024618","10"
"default_evolutive","0","0","9","0","0","0","0","0.160258516669273","0","414.261077880859","2.42999362945557","18.4210796356201","0","178.974548339844","0","0","0","528.203796386719","1450.00476074219","0","1450.00476074219","354.419342041016","496.297119140625","0","0.0173225495964289","0.765898048877716","0","0","434.991851806641","0","32.5805053710938","-0.00411777198314667","0","9","199","1","319","201","200","-1","0","200","0","0","0","2.15774202346802","0.400000005960464","0","146","257","20459.9986894586","1023","19.9999987189233","1.29598666538314","-0.861755358084874","10"
"default_evolutive","0","0","10","0","0","0","0","-0.412739336490631","0","463.289428710938","1.64456617832184","0","0","144.106567382813","0","0","0","530.410095214844","1650.0439453125","0","1650.0439453125","338.217132568359","498.213592529297","0","0.0165306497365236","0.875200033187866","0","0","464.842010498047","0","36.1523513793945","-0.0244165379554033","0","7","199","1","309","201","200","-1","0","200","1","0","0","1.18627941608429","0.449999988079071","0","167","234","20460.0023567789","1023","20.0000023037917","1.08225871060265","-0.104020705481641","10"
