"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_evolutive","0","0","13","3539.66301727295","6499.05169677734","4.90728936831538","13","0"
"default_evolutive","0","1","10","2025.69738769531","5003.14807128906","7.31704897880554","10","0.0307062119245529"
"default_evolutive","0","2","10","1991.53765106201","4839.96527099609","10.5230481147766","10","0.0614124238491058"
"default_evolutive","0","3","8","1173.14752960205","3271.84519958496","16.231085896492","8","0.0921186357736588"
"default_evolutive","0","4","5","778.511863708496","2134.22018432617","19.7169500350952","5","0.122824847698212"
"default_evolutive","10","0","9","1780.53704071045","4494.12423706055","6.71525179015266","9","0"
"default_evolutive","10","1","12","191235.104232788","230482.331481934","18.2574550112089","12","0.0307062119245529"
"default_evolutive","10","2","10","1851.56259155273","5006.71694946289","10.1458897352219","10","0.0614124238491058"
"default_evolutive","10","3","11","1567.07804870605","4910.25198364258","13.6377759196542","11","0.0921186357736588"
"default_evolutive","10","4","10","1359.81839752197","5067.95596313477","15.0722380638123","10","0.122824847698212"
"default_evolutive","15","0","8","1473.7982635498","3998.72265625","7.26440072059631","8","0"
"default_evolutive","15","1","10","60202.0800094604","70081.146484375","13.7988929510117","10","0.0307062119245529"
"default_evolutive","15","2","10","2266.2692565918","4965.90466308594","8.9597393989563","10","0.0614124238491058"
"default_evolutive","15","3","10","1674.38449859619","4472.25093078613","14.4329555869102","10","0.0921186357736588"
"default_evolutive","15","4","9","1197.94504547119","4106.10955810547","15.5437888039483","9","0.122824847698212"
"default_evolutive","2","0","13","3593.06814575195","6504.03713989258","4.93769848719239","13","0"
"default_evolutive","2","1","11","2527.60953521729","5338.28588867188","8.76240686936812","11","0.0307062119245529"
"default_evolutive","2","2","8","1425.63513183594","3995.4345703125","7.10438531637192","8","0.0614124238491058"
"default_evolutive","2","3","8","1187.38064575195","3317.94198608398","16.1903585791588","8","0.0921186357736588"
"default_evolutive","2","4","7","915.695510864258","3155.98854827881","15.8333192552839","7","0.122824847698212"
"default_evolutive","20","0","9","2033.0040435791","4486.26696777344","7.51401209831238","9","0"
"default_evolutive","20","1","10","60752.9670181274","80561.8687438965","13.7796566963196","10","0.0307062119245529"
"default_evolutive","20","2","11","58964.7758483887","77279.4328918457","13.0144601518458","11","0.0614124238491058"
"default_evolutive","20","3","11","2629.08604431152","4930.99540710449","13.3382128043608","11","0.0921186357736588"
"default_evolutive","20","4","11","2423.76696777344","5412.99160766602","10.3087120923129","11","0.122824847698212"
"default_evolutive","30","0","9","1976.8618850708","4492.06997680664","7.12372679180569","9","0"
"default_evolutive","30","1","10","111829.694839478","165569.904846191","13.7698483943939","10","0.0307062119245529"
"default_evolutive","30","2","10","4503.52501678467","4638.42993164063","9.67786321640015","10","0.0614124238491058"
"default_evolutive","30","3","11","4580.61601257324","4832.8828125","13.2643794254823","11","0.0921186357736588"
"default_evolutive","30","4","10","2714.86135101318","4883.16622924805","9.36713098506443","10","0.122824847698212"
"default_evolutive","45","0","5","711.476844787598","2515.55590820313","10.378463602066","5","0"
"default_evolutive","45","1","9","4616.4966583252","4271.75256347656","5.31191929181417","9","0.0307062119245529"
"default_evolutive","45","2","10","5960.79777526855","4524.97106933594","9.51564939022064","10","0.0614124238491058"
"default_evolutive","45","3","9","5414.91635894775","3810.0466003418","14.7138207115543","9","0.0921186357736588"
"default_evolutive","45","4","11","3882.05438995361","4955.43405151367","12.2448582215743","11","0.122824847698212"
"default_evolutive","5","0","13","3653.60697174072","6553.84582519531","4.85906113967156","13","0"
"default_evolutive","5","1","12","2767.06823730469","6003.09689331055","6.3856491992871","12","0.0307062119245529"
"default_evolutive","5","2","11","2220.83000183105","5501.82220458984","9.56751322746277","11","0.0614124238491058"
"default_evolutive","5","3","9","1386.33936309814","3872.84931945801","14.9011412196689","9","0.0921186357736588"
"default_evolutive","5","4","8","2178.19314575195","4004.56652832031","21.8643192052841","8","0.122824847698212"
"default_evolutive","60","0","7","3930.52276611328","3318.62393188477","4.73700274739947","7","0.0307062119245529"
"default_evolutive","60","1","10","6902.43355560303","4602.86099243164","5.26382403969765","10","0.0614124238491058"
"default_evolutive","60","2","11","7703.08448791504","4537.10665893555","12.3794739896601","11","0.0921186357736588"
"default_evolutive","60","3","11","6554.30905151367","4545.79769897461","9.01130589571866","11","0.122824847698212"
"default_evolutive","75","0","5","1752.72097015381","2414.41976928711","5.62580628395081","5","0.0307062119245529"
"default_evolutive","75","1","11","7937.68437957764","5067.79083251953","4.75564075870947","11","0.0614124238491058"
"default_evolutive","75","2","11","7564.46836090088","4642.48956298828","12.1784439845519","11","0.0921186357736588"
"default_evolutive","75","3","11","7180.73040771484","4538.08935546875","8.40998749299483","11","0.122824847698212"
"default_evolutive","90","0","5","15111.725227356","19580.8183288574","25.4016663551331","5","0.0614124238491058"
"default_evolutive","90","1","11","7214.83450317383","4596.74029541016","12.1128852800889","11","0.0921186357736588"
"default_evolutive","90","2","10","5970.63618469238","4135.04730224609","8.81479911804199","10","0.122824847698212"
