"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_longboard","0","0","13","227107.313087463","396937.381469727","13.9344061629918","13","0"
"default_longboard","0","1","11","319550.119094849","231969.44317627","22.7686507051641","11","0.0210758335888386"
"default_longboard","0","2","9","57866.2179794312","25646.1153564453","16.0781090524462","9","0.0421516671776772"
"default_longboard","0","3","8","8938.94270324707","4682.94964599609","23.9223819971085","8","0.063227504491806"
"default_longboard","0","4","7","2576.6544342041","2616.73446655273","29.2401945931571","7","0.0843033343553543"
"default_longboard","10","0","11","223196.029510498","387075.401123047","19.8748679161072","11","0"
"default_longboard","10","1","12","326134.210983276","289486.089080811","25.0221527814865","12","0.0210758335888386"
"default_longboard","10","2","12","310582.554908752","203396.875518799","25.6537261406581","12","0.0421516671776772"
"default_longboard","10","3","13","138219.888389587","78581.6254882813","23.1114979449015","13","0.063227504491806"
"default_longboard","10","4","10","23509.7907028198","12789.2663879395","22.8829233169556","10","0.0843033343553543"
"default_longboard","15","0","8","1733.64451599121","4144.62164306641","10.7271311283112","8","0"
"default_longboard","15","1","12","325797.339065552","328840.973266602","24.4247542619705","12","0.0210758335888386"
"default_longboard","15","2","12","295055.76386261","241629.430755615","25.4167596101761","12","0.0421516671776772"
"default_longboard","15","3","12","153781.615898132","107633.884887695","25.9385474920273","12","0.063227504491806"
"default_longboard","15","4","11","4176.48737335205","5475.45034790039","18.4469804763794","11","0.0843033343553543"
"default_longboard","2","0","12","309766.492835999","492526.461303711","18.6679323514303","12","0"
"default_longboard","2","1","11","230411.719940186","179273.135681152","22.2543284676292","11","0.0210758335888386"
"default_longboard","2","2","11","235208.260505676","109046.015869141","26.0701276172291","11","0.0421516671776772"
"default_longboard","2","3","10","43576.7608337402","16107.3891601563","22.2080768585205","10","0.063227504491806"
"default_longboard","2","4","8","3647.86391448975","3906.45492553711","27.2136851549149","8","0.0843033343553543"
"default_longboard","20","0","7","1407.48945617676","3632.40823364258","12.2138560158866","7","0"
"default_longboard","20","1","11","326422.020217896","369420.918334961","23.1343786066229","11","0.0210758335888386"
"default_longboard","20","2","12","302311.517105103","292073.61605835","26.2383114496867","12","0.0421516671776772"
"default_longboard","20","3","11","149835.603462219","130014.589874268","23.7875456809998","11","0.063227504491806"
"default_longboard","20","4","12","4712.72694396973","5963.45803833008","15.8934044837952","12","0.0843033343553543"
"default_longboard","30","0","6","1060.41117095947","3121.75436401367","12.848884344101","6","0"
"default_longboard","30","1","7","3105.13372802734","3516.6360168457","10.4389526503427","7","0.0210758335888386"
"default_longboard","30","2","12","308277.20274353","374903.25112915","25.5622466007868","12","0.0421516671776772"
"default_longboard","30","3","11","159429.968482971","177678.234741211","23.8715812943198","11","0.063227504491806"
"default_longboard","30","4","11","4084.14186096191","7383.01763916016","14.215618471488","11","0.0843033343553543"
"default_longboard","45","0","3","256.522041320801","1573.07208251953","11.4465160369873","3","0"
"default_longboard","45","1","6","2752.91329193115","3015.15521240234","10.6142245133718","6","0.0210758335888386"
"default_longboard","45","2","11","247581.886222839","363680.237579346","23.6017534082586","11","0.0421516671776772"
"default_longboard","45","3","11","87504.0857696533","121501.30859375","17.1771001293832","11","0.063227504491806"
"default_longboard","45","4","11","5647.67802429199","5602.19763183594","13.1667218533429","11","0.0843033343553543"
"default_longboard","5","0","12","308737.979522705","455024.159698486","18.9154251813889","12","0"
"default_longboard","5","1","12","322106.623321533","238364.666595459","24.2315669457118","12","0.0210758335888386"
"default_longboard","5","2","12","320803.081993103","150837.371826172","26.4094146092733","12","0.0421516671776772"
"default_longboard","5","3","11","155074.809585571","60892.4297485352","28.960994980552","11","0.063227504491806"
"default_longboard","5","4","8","2584.77292633057","4170.76104736328","22.5548113584518","8","0.0843033343553543"
"default_longboard","60","0","6","2140.3657913208","3057.5339050293","10.3825389544169","6","0.0210758335888386"
"default_longboard","60","1","11","196444.917655945","309189.559814453","19.3333600651134","11","0.0421516671776772"
"default_longboard","60","2","11","47615.3132705688","63100.3040161133","13.2944573834115","11","0.063227504491806"
"default_longboard","60","3","10","10932.4354248047","4443.40771484375","14.4559193134308","10","0.0843033343553543"
"default_longboard","75","0","6","2322.17425537109","3059.57434082031","8.57281223932902","6","0.0210758335888386"
"default_longboard","75","1","11","205867.476882935","339648.96862793","18.3417002287778","11","0.0421516671776772"
"default_longboard","75","2","11","12220.9841003418","5246.18371582031","8.91398338838057","11","0.063227504491806"
"default_longboard","75","3","11","24229.0863342285","23693.9819335938","16.8086810978976","11","0.0843033343553543"
"default_longboard","90","0","6","2169.56332397461","3060.86889648438","7.72896313667297","6","0.0210758335888386"
"default_longboard","90","1","11","10576.4542388916","5690.12564086914","5.90091780640862","11","0.0421516671776772"
"default_longboard","90","2","10","10586.6973419189","4748.77578735352","8.73691687583923","10","0.063227504491806"
"default_longboard","90","3","10","20039.8332977295","21215.7833251953","13.2994071483612","10","0.0843033343553543"
