"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_paddle","0","0","13","330621.501533508","581672.015869141","17.015604616895","13","0"
"default_paddle","0","1","10","340303.853614807","301354.807617188","25.0127184391022","10","0.0252163149416447"
"default_paddle","0","2","9","245462.325744629","132043.609985352","25.704513920678","9","0.0504326298832893"
"default_paddle","0","3","8","43927.6345825195","15826.6452636719","18.7153138965368","8","0.0756489485502243"
"default_paddle","0","4","7","3163.16018676758","3350.44216918945","24.2318687438965","7","0.100865259766579"
"default_paddle","10","0","11","356865.380317688","628744.594177246","25.2433415109461","11","0"
"default_paddle","10","1","11","451444.765060425","457794.353393555","26.9698963165283","11","0.0252163149416447"
"default_paddle","10","2","11","428725.312797546","320184.920532227","29.5325551899997","11","0.0504326298832893"
"default_paddle","10","3","11","177496.835632324","102846.554077148","26.0272141714919","11","0.0756489485502243"
"default_paddle","10","4","11","27878.6296539307","15007.6278076172","16.0355589606545","11","0.100865259766579"
"default_paddle","15","0","10","332890.457878113","592286.050048828","23.1662183880806","10","0"
"default_paddle","15","1","11","442845.101890564","507101.888061523","26.9331534125588","11","0.0252163149416447"
"default_paddle","15","2","11","417863.845718384","381713.148040771","29.6654770157554","11","0.0504326298832893"
"default_paddle","15","3","12","160802.509307861","116608.547485352","25.2656974395116","12","0.0756489485502243"
"default_paddle","15","4","11","28613.154296875","18450.346862793","13.1427256755785","11","0.100865259766579"
"default_paddle","2","0","12","448129.721160889","777683.508728027","22.4176971316338","12","0"
"default_paddle","2","1","11","460654.099533081","393661.75994873","26.8389938094399","11","0.0252163149416447"
"default_paddle","2","2","10","275484.087867737","145009.414916992","23.8760377168655","10","0.0504326298832893"
"default_paddle","2","3","8","86939.2929840088","32527.5337219238","27.5688311457634","8","0.0756489485502243"
"default_paddle","2","4","7","3369.97373962402","3622.64782714844","23.8448824201311","7","0.100865259766579"
"default_paddle","20","0","9","219348.412010193","401623.39666748","20.4394174681769","9","0"
"default_paddle","20","1","11","444834.698646545","544407.871520996","27.1886781345714","11","0.0252163149416447"
"default_paddle","20","2","11","417135.896949768","437920.358123779","29.4169633605263","11","0.0504326298832893"
"default_paddle","20","3","12","146545.537643433","119502.517456055","25.7944354613622","12","0.0756489485502243"
"default_paddle","20","4","10","26604.3522186279","18885.6870117188","12.1495227001142","10","0.100865259766579"
"default_paddle","30","0","5","968.659423828125","2688.66925048828","10.4209909439087","5","0"
"default_paddle","30","1","11","446777.143562317","634706.951660156","27.2618440281261","11","0.0252163149416447"
"default_paddle","30","2","11","287454.16582489","360058.002563477","23.8656879121607","11","0.0504326298832893"
"default_paddle","30","3","11","136172.360778809","148559.940673828","23.5330587733876","11","0.0756489485502243"
"default_paddle","30","4","11","35793.1023101807","32197.8729858398","13.9641500642862","11","0.100865259766579"
"default_paddle","45","0","4","790.674201965332","2165.32940673828","10.4082012176514","4","0"
"default_paddle","45","1","11","501075.406990051","812093.75012207","29.9330317757346","11","0.0252163149416447"
"default_paddle","45","2","11","281739.887985229","421690.354614258","23.2340851263566","11","0.0504326298832893"
"default_paddle","45","3","11","168898.457901001","233806.581604004","30.3323652094061","11","0.0756489485502243"
"default_paddle","45","4","10","68054.3947753906","74786.4307861328","32.2838225841522","10","0.100865259766579"
"default_paddle","5","0","12","470186.898788452","841823.384765625","26.6825101772944","12","0"
"default_paddle","5","1","11","454914.062057495","412679.214355469","26.8864037340338","11","0.0252163149416447"
"default_paddle","5","2","10","342513.926101685","216981.249023438","27.9842299461365","10","0.0504326298832893"
"default_paddle","5","3","10","187256.522460938","78451.3534851074","29.8769961118698","10","0.0756489485502243"
"default_paddle","5","4","9","2602.66395568848","4870.13641357422","18.2750477261013","9","0.100865259766579"
"default_paddle","60","0","11","498725.780677795","857368.969421387","30.5559313080528","11","0.0252163149416447"
"default_paddle","60","1","11","319287.143623352","538189.324462891","26.463123364882","11","0.0504326298832893"
"default_paddle","60","2","11","143073.644515991","217097.189819336","25.435070102865","11","0.0756489485502243"
"default_paddle","60","3","9","54041.5068359375","63090.8250732422","35.6490557458666","9","0.100865259766579"
"default_paddle","75","0","10","522339.151351929","894598.636291504","29.9337728977203","10","0.0252163149416447"
"default_paddle","75","1","12","410653.00743866","709469.848022461","27.9914396603902","12","0.0504326298832893"
"default_paddle","75","2","11","223345.904510498","378544.850891113","33.0727183602073","11","0.0756489485502243"
"default_paddle","75","3","10","68983.845703125","89794.3324584961","36.9203361034393","10","0.100865259766579"
"default_paddle","90","0","4","36824.7849655151","54923.5693969727","16.9812909960747","4","0.0252163149416447"
"default_paddle","90","1","11","329098.25717926","567751.509521484","29.0290570475838","11","0.0504326298832893"
"default_paddle","90","2","11","279972.523071289","492239.165466309","41.1858993877064","11","0.0756489485502243"
"default_paddle","90","3","9","59494.7114257813","73785.0070800781","36.3145452075534","9","0.100865259766579"
