board,drift_deg,roll_case,element_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_residual,n_sub_elements
default_shortboard,0,0,0,20459.999879529,1023,19.9999998822375,18.1732725212101,-1.26941546707113,10
default_shortboard,0,0,1,20460.0022760703,1023,20.0000022248977,15.7354439111836,-0.331414380442338,10
default_shortboard,0,0,2,20459.9977506008,1023,19.9999978011738,10.8753598062961,0.819193157431373,10
default_shortboard,0,0,3,20460.0020123862,1023,20.000001967142,6.66265358510928,0.565664430293609,10
default_shortboard,0,0,4,20459.9999294745,1023,19.9999999310601,4.81084888459853,-0.188720054610451,10
default_shortboard,0,0,5,20460.0047325566,1023,20.000004626155,3.70113079507505,-0.795306754516016,10
default_shortboard,0,0,6,20460.001885017,1023,20.0000018426364,3.00113588792938,-1.09162705915314,10
default_shortboard,0,0,7,20459.9968283233,1023,19.9999968996317,2.51409345600807,-1.14123124148644,10
default_shortboard,0,0,8,20460.001359834,1023,20.000001329261,2.1992876531112,-0.921130418635624,10
default_shortboard,0,0,9,20460.001051964,1023,20.0000010283128,1.92606087842476,-0.407604492516407,10
default_shortboard,0,0,10,20460.0011042458,1023,20.0000010794192,1.65245545143359,0.533718826715874,10
default_shortboard,0,0,11,20460.0006588905,1023,20.0000006440768,1.53236776243857,0.882476624361788,10
default_shortboard,0,1,0,20459.9993762533,1023,19.999999390277,27.6992779250711,-8.31670565647186,10
default_shortboard,0,1,1,20459.9998791958,1023,19.9999998819118,18.0743059079031,-0.417111023249262,10
default_shortboard,0,1,2,20459.9984532096,1023,19.9999984879859,13.064353007044,0.430932062830129,10
default_shortboard,0,1,3,20459.9990088956,1023,19.9999990311785,6.88934844265485,0.50730603466535,10
default_shortboard,0,1,4,20460.0019651548,1023,20.0000019209724,4.65091451084509,-0.416702428699588,10
default_shortboard,0,1,5,20459.9996148017,1023,19.999999623462,3.65909772614244,-0.829989378654925,10
default_shortboard,0,1,6,20459.9997085399,1023,19.9999997150928,3.10761274309616,-0.956362591071325,10
default_shortboard,0,1,7,20460.0008101779,1023,20.0000007919628,2.76293267052098,-0.815102207256116,10
default_shortboard,0,1,8,20459.999764321,1023,19.9999997696198,2.4727963925775,-0.573071050507216,10
default_shortboard,0,1,9,20460.0015476915,1023,20.0000015128949,2.07841345030887,-0.0144849185265827,10
default_shortboard,0,2,0,20460.0001975568,1023,20.0000001931151,26.6524878418387,-3.58642664790741,10
default_shortboard,0,2,1,20459.9978721326,1023,19.9999979199732,9.03357292364359,0.0391032810044312,10
default_shortboard,0,2,2,20459.9996551532,1023,19.9999996629064,5.96021063698084,-0.682661696545766,10
default_shortboard,0,2,3,20459.9981004774,1023,19.9999981431841,4.74522545307938,-0.725161052047574,10
default_shortboard,0,2,4,20460.0012176933,1023,20.0000011903161,3.60699905631024,-0.618393285303531,10
