"type","field","dotnet_type","serialized","status","n_seen","n_null","n_sentinel","n_distinct","min","max","mean","ref_type","shape_min","shape_max"
"Class_rapport_hydrodynamique","affichage_actualisé","Boolean","0","nonserialized","11","0","0","1","0","0","0","","",""
"Class_rapport_hydrodynamique","angle_drift_deg","Single","1","populated","11","0","0","11","0","90","32","","",""
"Class_rapport_hydrodynamique","list_elements_hydro","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_rapport_hydrodynamique","list_incidences_deg","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_rapport_hydrodynamique","list_index_point_ligne_attaque_1_index_axe_roulis","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_rapport_hydrodynamique","list_index_point_ligne_attaque_2_index_axe_roulis","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_rapport_hydrodynamique","list_posx","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_rapport_hydrodynamique","list_posy","ArrayList","1","reference","11","0","0","0","","","","ArrayList","3","5"
"Class_surfboard","_angle_drift_deg","Int32","1","constant","1","0","0","1","90","90","90","","",""
"Class_surfboard","_angle_drift_deg_hydrostatic_deviation","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_drift_deg_planing_deviation","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_drift_deg_single","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_drift_rad","Single","1","constant","1","0","0","1","1.57079637050629","1.57079637050629","1.57079637050629","","",""
"Class_surfboard","_angle_flux_relatif_deg_dynamique_parametre","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_incidence_plan_horizontal_repere_planche_deg","Single","1","constant_zero","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_incidence_plan_horizontal_repere_planche_rad","Single","1","constant_zero","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_ligne_contact_deg","Int32","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_angle_ligne_contact_rad","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_centre_appui","point_graphique","1","reference","1","0","0","0","","","","point_graphique","",""
"Class_surfboard","_centre_appui_Z","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_cumul_rotation_yaw_deg","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_direction_horizontale_trajectoire_rad","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_Facteur_hydrostatique","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_drag_n","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_efficiency_n","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_lift_n","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_moment_pitch_nm","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_moment_roll_nm","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_moment_yaw_nm","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_fins_global_vertical_force_n","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_foiling_state","Boolean","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_Froude_number","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_horizontal_relative_flow_fins_force_n","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_immersion_m","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_infos","String","1","null","1","1","0","0","","","","","",""
"Class_surfboard","_moment_inertie_yaw","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
"Class_surfboard","_moment_inertie_yaw_surfer_et_planche","Single","0","nonserialized","1","0","0","1","0","0","0","","",""
