"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_shortboard","0","0","12","2317.78909301758","5909.58410644531","6.34412561853727","12","0"
"default_shortboard","0","1","10","1764.97269439697","4937.90289306641","9.58603439331055","10","0.0269985105842352"
"default_shortboard","0","2","8","1221.87643432617","3946.30581665039","8.20769467949867","8","0.0539970211684704"
"default_shortboard","0","3","8","1168.09660339355","3738.19680786133","11.7381266355515","8","0.0809955298900604"
"default_shortboard","0","4","7","1792.85264587402","2884.54827880859","24.5683505194528","7","0.107994042336941"
"default_shortboard","10","0","9","1746.93548583984","4646.63278198242","10.6162127388848","9","0"
"default_shortboard","10","1","9","1555.37773132324","4437.26132202148","10.1163051128387","9","0.0269985105842352"
"default_shortboard","10","2","9","1381.40714263916","4420.95736694336","7.85707961188422","9","0.0539970211684704"
"default_shortboard","10","3","11","1535.22257995605","5362.77661132813","10.3491746078838","11","0.0809955298900604"
"default_shortboard","10","4","9","1209.73293304443","4486.23922729492","14.5503446261088","9","0.107994042336941"
"default_shortboard","15","0","10","2016.38205718994","4899.73477172852","7.2875604391098","10","0"
"default_shortboard","15","1","9","1761.31697845459","4425.2112121582","10.0049988693661","9","0.0269985105842352"
"default_shortboard","15","2","9","1903.458984375","4370.78103637695","7.12743904855516","9","0.0539970211684704"
"default_shortboard","15","3","9","1785.7653427124","4410.76251220703","11.0776682959663","9","0.0809955298900604"
"default_shortboard","15","4","10","1310.19609069824","4034.36482810974","18.4091743469238","10","0.107994042336941"
"default_shortboard","2","0","12","2743.43646240234","6303.32702636719","7.95652483403683","12","0"
"default_shortboard","2","1","11","2140.39833831787","5422.11218261719","9.04022871364247","11","0.0269985105842352"
"default_shortboard","2","2","8","1189.22450256348","3947.06994628906","8.06119373440742","8","0.0539970211684704"
"default_shortboard","2","3","7","1034.71192169189","3260.98428344727","12.461284501212","7","0.0809955298900604"
"default_shortboard","2","4","8","1482.14765930176","3241.4761428833","21.8617627620697","8","0.107994042336941"
"default_shortboard","20","0","10","2244.73996734619","4879.77777099609","7.18103976249695","10","0"
"default_shortboard","20","1","9","2083.29848480225","4359.66162109375","9.62158311737908","9","0.0269985105842352"
"default_shortboard","20","2","9","2729.04217529297","4240.14349365234","7.08615480528937","9","0.0539970211684704"
"default_shortboard","20","3","9","2411.13941955566","4267.17379760742","10.4953880310059","9","0.0809955298900604"
"default_shortboard","20","4","11","2488.06988525391","4356.31317138672","16.5804437290538","11","0.107994042336941"
"default_shortboard","30","0","7","1208.2649307251","3453.0771484375","9.07725235394069","7","0"
"default_shortboard","30","1","8","2544.87217712402","3788.81777954102","6.75193947553635","8","0.0269985105842352"
"default_shortboard","30","2","10","4609.77021789551","4451.09524536133","6.27921180725098","10","0.0539970211684704"
"default_shortboard","30","3","10","5361.89157104492","4366.02716064453","8.01928632259369","10","0.0809955298900604"
"default_shortboard","30","4","11","4841.48276519775","3880.82204818726","15.6878388578242","11","0.107994042336941"
"default_shortboard","45","0","2","289.258827209473","981.999664306641","5.0296847820282","2","0"
"default_shortboard","45","1","10","5745.72769165039","4558.22067260742","4.21359120607376","10","0.0269985105842352"
"default_shortboard","45","2","10","5050.61358642578","4487.36901855469","7.16453855037689","10","0.0539970211684704"
"default_shortboard","45","3","9","4695.53248596191","3975.17785644531","8.55151637395223","9","0.0809955298900604"
"default_shortboard","45","4","10","5554.63450622559","3304.98406982422","16.9662585020065","10","0.107994042336941"
"default_shortboard","5","0","11","1910.97467041016","5414.03704833984","6.75769645517523","11","0"
"default_shortboard","5","1","12","2261.96563720703","5908.25695800781","8.56032584110896","12","0.0269985105842352"
"default_shortboard","5","2","10","1522.06146240234","4925.92501831055","6.83689424991608","10","0.0539970211684704"
"default_shortboard","5","3","9","1312.56604766846","4283.26797485352","10.5395104090373","9","0.0809955298900604"
"default_shortboard","5","4","7","1667.71537780762","3503.59429931641","16.4800421851022","7","0.107994042336941"
"default_shortboard","60","0","6","2527.40170288086","2848.62228393555","6.24739722410838","6","0.0269985105842352"
"default_shortboard","60","1","10","5853.71690368652","4513.02709960938","6.2458512544632","10","0.0539970211684704"
"default_shortboard","60","2","10","6506.93046569824","4236.30340576172","8.04682497978211","10","0.0809955298900604"
"default_shortboard","60","3","11","7039.21446228027","4405.01037597656","11.7682080702348","11","0.107994042336941"
"default_shortboard","75","0","6","2141.50961303711","2865.77105712891","6.18838779131571","6","0.0269985105842352"
"default_shortboard","75","1","10","5780.04112243652","4631.42398071289","6.13187347650528","10","0.0539970211684704"
"default_shortboard","75","2","10","6258.04294586182","4339.54925537109","7.93917521238327","10","0.0809955298900604"
"default_shortboard","75","3","10","6945.11106872559","3951.87149047852","11.5483149051666","10","0.107994042336941"
"default_shortboard","90","0","5","12036.9105834961","17307.9147644043","27.6712955474854","5","0.0539970211684704"
"default_shortboard","90","1","10","6160.53112792969","4340.79663085938","8.20216112136841","10","0.0809955298900604"
"default_shortboard","90","2","10","6149.08836364746","4050.06713867188","11.3054594516754","10","0.107994042336941"
