"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"default_shortboard_Copy_1","0","0","12","9955.7559967041","6161.9345703125","7.32223217189312","12","0"
"default_shortboard_Copy_1","0","1","9","1989.83595275879","4634.61016845703","3.88648899396261","9","0.0269985105842352"
"default_shortboard_Copy_1","0","2","8","1421.28106689453","4124.49136352539","5.53599575161934","8","0.0539970211684704"
"default_shortboard_Copy_1","0","3","7","1703.65424346924","3600.47918701172","11.3511268751962","7","0.0809955298900604"
"default_shortboard_Copy_1","0","4","6","1664.24385070801","2774.82371520996","19.0557055473328","6","0.107994042336941"
"default_shortboard_Copy_1","10","0","11","10283.3293380737","5619.11227416992","6.48664461482655","11","0"
"default_shortboard_Copy_1","10","1","7","1905.37897491455","3598.53787231445","5.19555686201368","7","0.0269985105842352"
"default_shortboard_Copy_1","10","2","8","2230.24597167969","4085.16311645508","6.55966195464134","8","0.0539970211684704"
"default_shortboard_Copy_1","10","3","11","2365.95880126953","5629.20687866211","9.39710560711947","11","0.0809955298900604"
"default_shortboard_Copy_1","10","4","10","1475.35695648193","4775.57814788818","15.7106930732727","10","0.107994042336941"
"default_shortboard_Copy_1","15","0","6","7505.48110961914","2985.55767822266","10.9989492893219","6","0"
"default_shortboard_Copy_1","15","1","9","197415.731582642","203489.430908203","28.4859544833501","9","0.0269985105842352"
"default_shortboard_Copy_1","15","2","10","161675.423080444","109187.762481689","23.3576340198517","10","0.0539970211684704"
"default_shortboard_Copy_1","15","3","12","1931.99524688721","5623.83715820313","12.3561560312907","12","0.0809955298900604"
"default_shortboard_Copy_1","15","4","10","19823.833190918","4334.48007202148","17.5934840679169","10","0.107994042336941"
"default_shortboard_Copy_1","2","0","12","3164.67611694336","6196.60919189453","4.97617101669312","12","0"
"default_shortboard_Copy_1","2","1","10","2818.10336303711","5140.04208374023","3.76201006174088","10","0.0269985105842352"
"default_shortboard_Copy_1","2","2","8","1547.27339935303","4118.87496948242","6.12152776122093","8","0.0539970211684704"
"default_shortboard_Copy_1","2","3","7","1371.22597503662","3616.419921875","10.4082717214312","7","0.0809955298900604"
"default_shortboard_Copy_1","2","4","6","10227.1008605957","2375.78192138672","23.6866981188456","6","0.107994042336941"
"default_shortboard_Copy_1","20","0","5","47188.9728469849","66258.7532958984","22.2349555850029","5","0"
"default_shortboard_Copy_1","20","1","10","322398.840988159","313969.099243164","34.0476346343756","10","0.0269985105842352"
"default_shortboard_Copy_1","20","2","10","199226.296485901","166253.889221191","27.1466216087341","10","0.0539970211684704"
"default_shortboard_Copy_1","20","3","10","54764.665145874","56861.9774169922","14.9295144081116","10","0.0809955298900604"
"default_shortboard_Copy_1","20","4","11","19874.24193573","4932.70182800293","17.7369954369285","11","0.107994042336941"
"default_shortboard_Copy_1","30","0","4","7481.52484893799","1913.40692138672","17.4917657375336","4","0"
"default_shortboard_Copy_1","30","1","11","346938.996559143","366408.636383057","36.47644961964","11","0.0269985105842352"
"default_shortboard_Copy_1","30","2","11","211030.367950439","204502.42855835","30.0492233796553","11","0.0539970211684704"
"default_shortboard_Copy_1","30","3","10","112413.369262695","119586.63394165","23.0947769165039","10","0.0809955298900604"
"default_shortboard_Copy_1","30","4","11","11195.7649841309","5140.16088867188","20.3052955974232","11","0.107994042336941"
"default_shortboard_Copy_1","45","0","11","356608.358154297","415779.516357422","40.0914915258234","11","0.0269985105842352"
"default_shortboard_Copy_1","45","1","11","218551.621551514","251771.53237915","34.3952531814575","11","0.0539970211684704"
"default_shortboard_Copy_1","45","2","10","132345.271774292","163441.054962158","21.3959279060364","10","0.0809955298900604"
"default_shortboard_Copy_1","45","3","11","3495.28364562988","4973.40594482422","20.7731400403109","11","0.107994042336941"
"default_shortboard_Copy_1","5","0","12","10202.4486160278","5997.99362182617","7.51385796318452","12","0"
"default_shortboard_Copy_1","5","1","9","2550.73975372314","4621.9485168457","3.97399667898814","9","0.0269985105842352"
"default_shortboard_Copy_1","5","2","9","2228.79033660889","4581.17831420898","5.60087262259589","9","0.0539970211684704"
"default_shortboard_Copy_1","5","3","8","1584.76875305176","3936.73431396484","10.5329653918743","8","0.0809955298900604"
"default_shortboard_Copy_1","5","4","9","11411.7312774658","4499.63470458984","15.466370900472","9","0.107994042336941"
"default_shortboard_Copy_1","60","0","10","315014.623382568","390825.649505615","39.8781803131103","10","0.0269985105842352"
"default_shortboard_Copy_1","60","1","11","207283.827575684","259240.188415527","35.0678632042625","11","0.0539970211684704"
"default_shortboard_Copy_1","60","2","10","2320.63249206543","5100.79391479492","17.2129589080811","10","0.0809955298900604"
"default_shortboard_Copy_1","60","3","11","4020.80966186523","5041.13746643066","23.0605910908092","11","0.107994042336941"
"default_shortboard_Copy_1","75","0","10","350272.980606079","445083.230041504","42.7306301116943","10","0.0269985105842352"
"default_shortboard_Copy_1","75","1","11","205776.514022827","271998.893188477","35.8685809048739","11","0.0539970211684704"
"default_shortboard_Copy_1","75","2","10","2823.75065612793","5070.55996704102","18.190468120575","10","0.0809955298900604"
"default_shortboard_Copy_1","75","3","10","2566.47178649902","5048.10571289063","20.6230821609497","10","0.107994042336941"
"default_shortboard_Copy_1","90","0","11","184669.927200317","234602.209625244","36.2072518088601","11","0.0539970211684704"
"default_shortboard_Copy_1","90","1","9","2244.78826904297","4624.11575317383","20.3237200842963","9","0.0809955298900604"
"default_shortboard_Copy_1","90","2","9","2980.45785522461","4535.75100708008","21.931147257487","9","0.107994042336941"
